venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Truist Park,Atlanta Braves,Sweeper,ST,6,middle right inside the strike zone,L,24,19,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,12,up and right outside the strike zone,R,23,8,11,4,0,2,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,3,upper right inside the strike zone,L,22,16,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,11,up and left outside the strike zone,L,22,9,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Knuckle curve,KC,13,low and left outside the strike zone,R,22,8,10,2,1,0,0,0,0,0,0,0,0,0,1,0,0
Truist Park,Atlanta Braves,Knuckle curve,KC,9,lower right inside the strike zone,R,21,10,0,11,1,1,1,1,0,0,6,1,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,5,middle middle inside the strike zone,R,21,15,0,6,1,1,0,1,0,0,2,0,0,0,0,0,1
Truist Park,Atlanta Braves,Eephus,EP,11,up and left outside the strike zone,R,21,4,13,4,0,0,0,0,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,14,low and right outside the strike zone,L,20,5,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,12,up and right outside the strike zone,L,20,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,1,upper left inside the strike zone,L,20,16,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,5,middle middle inside the strike zone,L,19,17,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slurve,SV,14,low and right outside the strike zone,R,18,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,8,lower middle inside the strike zone,L,18,14,0,4,0,0,0,0,0,0,2,0,0,1,1,0,0
Truist Park,Atlanta Braves,Changeup,CH,2,upper middle inside the strike zone,L,17,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,9,lower right inside the strike zone,R,17,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,9,lower right inside the strike zone,L,17,10,2,5,0,0,0,0,1,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,1,upper left inside the strike zone,R,16,11,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,12,up and right outside the strike zone,R,16,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,2,upper middle inside the strike zone,L,16,12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
